A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
952;009857;DS-K1802MK;ΠΛΗΚΤΡΟΛΟΓΙΟ ACCESS CONTROL;ACCESS CONTROL;READERS;6,00;102,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;102,00;0,00;0,00;6,00;102,00;102,00;0,00;0,00;102,00;0,00;
953;009858;HAC-HFW1500R-Z-IRE6-A;5MP HDCVI IR Bullet Camera;CCTV;ΚΑΜΕΡΕΣ BULLET;0,00;0,00;0,00;0,00;0,00;0,00;1,00;50,49;1,00;77,68;1,00;50,49;1,00;77,68;0,00;0,00;0,00;50,49;77,68;0,00;35,00;
954;009863;PFS3005-5ET-L;SWITCH 5 PORTS;IT;SWITCHES;1,00;5,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;5,88;0,00;0,00;1,00;5,88;5,88;0,00;0,00;5,88;0,00;
955;009866;ADCI6DPCAPIW;illustra pendant cap Indoor/Outdoor, white Compatible with the illustra Pro Gen4 minidomes, Pro Gen3 minidomes, Flex Gen3 minido;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;5,00;171,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;171,35;0,00;0,00;5,00;171,35;171,35;0,00;0,00;171,34;0,00;
956;009872;KR610-D;MIFARE READER;ACCESS CONTROL;READERS;7,00;231,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;52,31;7,00;231,00;1,00;52,31;6,00;198,00;231,00;33,00;52,31;198,00;36,91;
957;009879;DS-3E0510HP-E;SWITCH PoE 8PORTS;IT;SWITCHES;1,00;80,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;80,28;0,00;0,00;1,00;80,28;80,28;0,00;0,00;80,28;0,00;
958;009881;DS-2CE17D0T-IT3F;CAMERA 2MP FIXED BULLET;CCTV;ΚΑΜΕΡΕΣ BULLET;1,00;16,11;0,00;0,00;0,00;0,00;1,00;17,02;1,00;26,20;2,00;33,13;1,00;26,20;1,00;16,57;16,11;16,57;26,20;16,57;36,77;
959;009889;KR612D;MIFARE READER;ACCESS CONTROL;READERS;2,00;90,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;90,00;0,00;0,00;2,00;90,00;90,00;0,00;0,00;90,00;0,00;
960;009890;RXC-ST;OPTEX - RXC-ST DETECTOR;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;2,00;15,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;15,80;0,00;0,00;2,00;15,80;15,80;0,00;0,00;15,80;0,00;
961;009891;SP-MC01B;ΜΑΓΝΗΤΙΚΗ ΕΠΑΦΗ ΚΑΦΕ;INTRUSION/BA;ΕΠΑΦΕΣ BA;25,00;30,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;30,22;0,00;0,00;25,00;30,22;30,22;0,00;0,00;30,22;0,00;
962;009898;TS-6045C;TRANSFORMER 45VA/16,5V;IT;POWER SUPPLIES;1,00;7,17;0,00;0,00;0,00;0,00;2,00;14,40;1,00;9,73;3,00;21,57;1,00;9,73;2,00;14,38;7,17;7,19;9,73;14,38;26,10;
963;009906;MAD-405-I;Διευθυνσιοδοτούμενη συσκευή επιτήρησης 5 επαφών. Περιλαμβάνεται το κουτί.;FIRE DETECTION;SPARE PARTS FIRE DETECTION;5,00;210,26;0,00;0,00;0,00;0,00;2,00;79,14;0,00;0,00;7,00;289,40;0,00;0,00;7,00;294,36;210,26;0,00;0,00;294,36;0,00;
964;009911;IPC-HFW2431T-ZS;4MP WDR IR Bullet Network Camera;CCTV;ΚΑΜΕΡΕΣ BULLET;1,00;102,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;102,60;0,00;0,00;1,00;102,60;102,60;0,00;0,00;102,60;0,00;
965;009921;SPARK ELECTRON FEMALE;FEMALE ADAPTER FOR CCTV;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;11,00;1,64;0,00;0,00;0,00;0,00;1,00;0,17;3,00;4,50;12,00;1,81;3,00;4,50;9,00;1,36;1,64;1,66;4,50;1,36;63,13;
966;009922;CAB4/WH/100/PREMIUM;INTRUSION CABLE;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;2,00;46,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;46,42;0,00;0,00;2,00;46,42;46,42;0,00;0,00;46,42;0,00;
967;009931;ADVE1URACKIT;VideoEdge 1U Rack Mount Kit;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;8,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;8,18;0,00;0,00;1,00;8,18;8,18;0,00;0,00;8,18;0,00;
968;009938;900NTPNEK000FA;RP10 READER;ACCESS CONTROL;READERS;2,00;161,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;161,20;0,00;0,00;2,00;161,20;161,20;0,00;0,00;161,19;0,00;
969;009939;USTARVID-802-1;ISTAR ULTRA VID, 8RDR, 2 CAM, 1TB;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;1.704,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1.704,64;0,00;0,00;1,00;1.704,64;1.704,64;0,00;0,00;1.704,64;0,00;
970;009943;DS-3E1510P-SI;8  Port Gigabit Smart POE Switch;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;10,00;792,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;792,55;0,00;0,00;10,00;792,55;792,55;0,00;0,00;792,55;0,00;
971;009946;LDA AT60S02;Impedance attenuator;PA/VA;ΠΑΡΕΛΚΟΜΕΝΑ PA/VA;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;
972;009949;ΠΥΡΟΣΒΕΣΤΙΚΗ ΦΩΛΙΑ;40Χ40Χ13,5 ΜΕ ΓΑΤΖΟ ΠΛΗΡΗΣ;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;1.062,50;10,00;0,00;10,00;1.062,50;0,00;0,00;0,00;0,00;1.062,50;0,00;100,00;
973;009951;DS-1294ZJ-PT;Wall mount;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;2,00;15,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;15,76;0,00;0,00;2,00;15,76;15,76;0,00;0,00;15,76;0,00;
974;009955;5606-0133-01;PWR SPLY12V 48W;EAS;POWER SUPPLY EAS;3,00;33,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;33,42;0,00;0,00;3,00;33,42;33,42;0,00;0,00;33,41;0,00;
975;009989;516.900.001;701P Conventional Optical Detector (EN);FIRE DETECTION;DETECTOR BASE FIRE DETECTION;50,00;358,41;0,00;0,00;0,00;0,00;50,00;372,00;20,00;108,84;100,00;730,41;20,00;108,84;80,00;573,44;358,41;86,02;108,84;573,47;20,97;
976;009990;DS-2CD2646G2-IZS;Camera 4 MP AcuSense Motorized Varifocal Bullet NetworkIP66;CCTV;ΚΑΜΕΡΕΣ BULLET;6,00;882,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;882,52;0,00;0,00;6,00;882,52;882,52;0,00;0,00;882,51;0,00;
977;009992;ML-EB31;EXIT PUSH BUTTON;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;2,00;22,26;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;22,26;1,00;0,00;1,00;11,13;22,26;0,00;0,00;11,13;0,00;
978;009993;VDA-1632;ΔΙΑΝΕΜΗΤΗΣ VIDEO;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;2,00;47,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;47,42;0,00;0,00;2,00;47,42;47,42;0,00;0,00;47,42;0,00;
979;010000;DS-PS1-I-WE;Wireless internal sounder;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;0,00;0,00;0,00;0,00;0,00;0,00;1,00;27,30;1,00;27,30;1,00;27,30;1,00;27,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
980;010002;DS-PK1-E-WE;Wireless LED keypad;INTRUSION/BA;ΠΛΗΚΤΡΟΛΟΓΙΑ BA;17,00;650,10;0,00;0,00;0,00;0,00;0,00;0,00;1,00;38,00;17,00;650,10;1,00;38,00;16,00;611,86;650,10;0,00;0,00;611,86;0,00;
981;010010;DS-KABH6320-T;Indoor Station Table Bracket;INTERCOM;ΠΑΡΕΛΚΟΜΕΝΑ INTERCOM;1,00;14,35;0,00;0,00;0,00;0,00;0,00;0,00;1,00;20,26;1,00;14,35;1,00;20,26;0,00;0,00;14,35;14,35;20,26;0,00;29,17;
982;010012;517.035.010;K2142 White plastic surface mount backbox;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;252,00;237,39;0,00;0,00;0,00;0,00;111,00;99,90;192,00;165,98;363,00;337,29;192,00;165,98;171,00;161,08;237,39;180,80;165,98;161,03;-8,93;
983;010032;114103;ΒΑΣΗ ΣΤΗΡΙΞΗΣ ΦΙΑΛΗΣ DIA324;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;10,33;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;10,33;1,00;0,00;0,00;0,00;10,33;0,00;0,00;0,00;0,00;
984;010036;Z-200-H;High Connection Base;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;3,00;41,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;41,88;0,00;0,00;3,00;41,88;41,88;0,00;0,00;41,88;0,00;
985;010039;576.080.010;P80AIB Addressable Base Sounder VID;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;0,00;0,00;0,00;0,00;0,00;0,00;1,00;65,60;0,00;0,00;1,00;65,60;0,00;0,00;1,00;65,60;0,00;0,00;0,00;65,60;0,00;
986;010043;313003416;ΒΑΣΗ ΣΤΕΓΗΣ 2Φ/Β ΠΛ. 1640Χ990;INTRUSION/BA;PHOTOVOLTAICS;1,00;91,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;91,12;0,00;0,00;1,00;91,12;91,12;0,00;0,00;91,12;0,00;
987;010050;PSU 1208C;BACK UP PSU;IT;POWER SUPPLIES;2,00;104,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;104,40;0,00;0,00;2,00;104,40;104,40;0,00;0,00;104,40;0,00;
988;010060;IPSMDWALL3;Illustra Pro, Gen 3 Series MiniDome (IPSxx-Dxx-xxxx) white wall mount kit, indoor / outdoor;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;8,00;637,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;637,37;0,00;0,00;8,00;637,37;637,37;0,00;0,00;637,37;0,00;
989;010061;DS-KABH8350-T;Indoor Station Table Bracket;INTERCOM;ΠΑΡΕΛΚΟΜΕΝΑ INTERCOM;2,00;28,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;28,52;0,00;0,00;2,00;28,52;28,52;0,00;0,00;28,52;0,00;
990;010063;SP-MC01G;WIRED MAGNETIC CONTACT GREY;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;2,00;2,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,33;0,00;0,00;2,00;2,33;2,33;0,00;0,00;2,33;0,00;
991;010064;516.900.003;701H Convention Heat Rate of Rise 60°C (EN);FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE ADDRESSABLE;33,00;177,15;0,00;0,00;0,00;0,00;21,00;135,00;17,00;143,18;54,00;312,15;17,00;143,18;37,00;198,62;177,15;80,53;143,18;198,63;43,76;
992;010077;119292;ΜΑΝΟΜΕΤΡΟ ΜΕ P.SWITCH 0-40BAR;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;82,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;82,00;1,00;0,00;0,00;0,00;82,00;0,00;0,00;0,00;0,00;
993;010084;119290;ΣΩΛΗΝΑΣ ΕΚΤΟΞΕΥΣΗΣ 1 7/8''Χ1;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;121,12;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;121,12;1,00;0,00;0,00;0,00;121,12;0,00;0,00;0,00;0,00;
994;010085;ZBAMB2011T;AMB-2011 TABLETOP CONFIG;EAS;DEACTIVATOR SET;0,00;0,00;0,00;0,00;0,00;0,00;4,00;960,00;0,00;0,00;4,00;960,00;0,00;0,00;4,00;960,00;0,00;0,00;0,00;960,00;0,00;
995;010087;ML-EB80;EXIT PUSH BUTTON;ACCESS CONTROL;BUTTONS;2,00;6,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;6,08;0,00;0,00;2,00;6,08;6,08;0,00;0,00;6,08;0,00;
996;010089;RAPS1000;FIXED SHELF 485X750;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;2,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;72,00;0,00;0,00;2,00;72,00;72,00;0,00;0,00;72,00;0,00;
997;010100;20NKS-00-000000;"HID Signo 20, Mullion, Standard Profile 13.56mHz :125kHz, OSDP/Wiegand, Pigtail 18"" 0,5m, Mobile Ready";ACCESS CONTROL;READERS;24,00;3.358,87;0,00;0,00;0,00;0,00;4,00;563,00;9,00;1.024,43;28,00;3.921,87;9,00;1.024,43;19,00;2.659,10;3.358,87;699,77;1.024,43;2.659,11;31,69;
998;010102;TMB-251;COMMUNICATION CARD;FIRE DETECTION;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ FIRE;0,00;0,00;0,00;0,00;0,00;0,00;1,00;183,20;0,00;0,00;1,00;183,20;0,00;0,00;1,00;180,72;0,00;0,00;0,00;180,72;0,00;
999;010119;ADVER08R0DJ;VIDEOEDGE RACK MOUNT NVR, 8TB RAID 0, UP TO 1Gbps RECORDING / 1Gbps STREAMING THROUGHPUT, 2 x 10GB NIC and 2 x 1GB NIC, REDUNDAN;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;5.171,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;5.171,35;0,00;0,00;1,00;5.171,35;5.171,35;0,00;0,00;5.171,35;0,00;
1000;010120;ICS-A10020;Single Monitored Standard  Magnet, 544 Kg holding force. Fail-Safe, with green and red Status LEDs. 12 or 24 Vdc Operating volta;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;5,00;235,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;235,06;0,00;0,00;5,00;235,06;235,06;0,00;0,00;235,06;0,00;
1001;010153;BSR-5032;ΣΕΙΡΗΝΑ ΠΥΡΑΝΙΧΝΕΥΣΗΣ ADDRESSABLE;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;1,00;6,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;6,90;0,00;0,00;1,00;6,90;6,90;0,00;0,00;6,90;0,00;
1002;010158;MID-SUB-T100;Mobile credential Enterprise Subscription per Credential. MOQ 100.;ACCESS CONTROL;LICENSE/SOFTWARE ACCESS CONTROL;100,00;394,90;0,00;0,00;0,00;0,00;100,00;306,00;100,00;0,00;200,00;700,90;100,00;0,00;100,00;394,90;394,90;0,00;0,00;394,90;0,00;
1003;010162;557.080.001;B..CAP Sounder Base Blank Cap;FIRE DETECTION;SPARE PARTS FIRE DETECTION;0,00;0,00;0,00;0,00;0,00;0,00;1,00;5,29;0,00;0,00;1,00;5,29;0,00;0,00;1,00;5,29;0,00;0,00;0,00;5,29;0,00;
1004;010163;576.080.004;P80SR Addressable Wall Sounder Red;FIRE DETECTION;SPARE PARTS FIRE DETECTION;14,00;707,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;707,64;0,00;0,00;14,00;707,64;707,64;0,00;0,00;707,64;0,00;
1005;010166;LPB24-R-T;24V Strobe Red Lens;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE CONVENTIONAL;78,00;474,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,00;474,24;0,00;0,00;78,00;474,24;474,24;0,00;0,00;474,24;0,00;
1006;010167;TY400-REP-I;REPEAT PANEL;FIRE DETECTION;ΠΙΝΑΚΕΣ FIRE ADDRESSABLE;5,00;299,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;299,20;0,00;0,00;5,00;299,20;299,20;0,00;0,00;299,20;0,00;
1007;010168;DS-K1802M;ΚΑΡΤΑΝΑΓΝΩΣΤΗΣ ΧΩΡΙΣ ΠΛΗΚΤΡΟΛΟΓΙΟ;ACCESS CONTROL;READERS;22,00;334,97;0,00;0,00;0,00;0,00;0,00;252,00;14,00;304,00;22,00;586,97;14,00;304,00;8,00;130,44;334,97;358,70;304,00;130,44;-17,99;
1008;010175;557.202.082;BACnet UC-8112-ME-T-LX Interface with CBL-F9DPF1x;FIRE DETECTION;ACCESSORIES FIRE ADDRESSABLE;3,00;2.813,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;2.813,82;0,00;0,00;3,00;2.813,82;2.813,82;0,00;0,00;2.813,82;0,00;
1009;010179;MCP200-CS;CONV. MANUAL CALL POINT;FIRE DETECTION;SPARE PARTS FIRE DETECTION;1,00;8,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;8,94;0,00;0,00;1,00;8,94;8,94;0,00;0,00;8,93;0,00;
1010;010180;CR123A;ΜΠΑΤΑΡΙΑ 3V;ΛΟΙΠΑ;ΜΠΑΤΑΡΙΕΣ;18,00;34,30;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;18,00;34,30;1,00;0,00;17,00;32,40;34,30;0,00;0,00;32,39;0,00;
1011;010186;ISC-BDL2-W12GE;MOTION DETECTOR;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;2,00;85,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;85,48;0,00;0,00;2,00;85,48;85,48;0,00;0,00;85,48;0,00;
1012;010196;FDLB291;ΒΑΣΗ ΓΡΑΜΜΙΚΟΥ ΑΝΙΧΝΕΥΤΗ;FIRE DETECTION;DETECTOR BASE FIRE DETECTION;1,00;5,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;5,82;0,00;0,00;1,00;5,82;5,82;0,00;0,00;5,82;0,00;
1013;010200;557.202.030;PSU830 MX PANEL;IT;POWER SUPPLIES;1,00;72,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;72,70;0,00;0,00;1,00;72,70;72,70;0,00;0,00;72,70;0,00;
1014;010213;IFS08-D22-AT03;Illustra Flex 8MP Gen3 MiniDome, White, 4.17-9.48mm motorised P-Iris lens, Indoor rated, Smoked bubble, IK08 Impact Rating, True;CCTV;ΚΑΜΕΡΕΣ DOME;1,00;69,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;69,57;0,00;0,00;1,00;69,57;69,57;0,00;0,00;69,57;0,00;
1015;010215;MUR35062;Μηχανισμός Διακόπτη Κλειδί Στεγανός;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;0,00;0,00;0,00;0,00;0,00;0,00;38,00;611,77;0,00;0,00;38,00;611,77;0,00;0,00;38,00;611,76;0,00;0,00;0,00;611,77;0,00;
1016;010229;DS-K7P02;Exit & Emergency Button;ACCESS CONTROL;BUTTONS;9,00;51,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;51,62;0,00;0,00;9,00;51,62;51,62;0,00;0,00;51,62;0,00;
1017;010234;557.200.847;Pro16xD 4-16 Loop PROFILE Flexible Panel;FIRE DETECTION;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ FIRE;2,00;3.642,62;0,00;0,00;0,00;0,00;3,00;3.213,69;1,00;2.348,12;5,00;6.856,31;1,00;2.348,12;4,00;5.035,00;3.642,62;1.258,75;2.348,12;5.035,00;46,39;
1018;010240;20TKS-00-000000;HID Signo 20, Mullion, Standard Profile 13.56mHz :125kHz, OSDP/Wiegand, Terminal connector, Mobile Ready;ACCESS CONTROL;READERS;3,00;401,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;401,87;0,00;0,00;3,00;401,87;401,87;0,00;0,00;401,87;0,00;
1019;010244;SP-MC06W;Ενσύρματη ΜΙΝΙ χωνευτή μαγνητική επαφή;INTRUSION/BA;ΕΠΑΦΕΣ BA;14,00;21,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;21,42;0,00;0,00;14,00;21,42;21,42;0,00;0,00;21,42;0,00;
1020;010250;32LM550;"TV LED 32"" LG 32LM550";IT;ΟΘΟΝΕΣ;1,00;170,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;170,16;0,00;0,00;1,00;170,16;170,16;0,00;0,00;170,16;0,00;
1021;010252;PSU 12V 2A;PSU 12V 2A SPARK ELECTRON;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;7,00;30,68;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;7,00;30,68;1,00;0,00;6,00;26,30;30,68;0,00;0,00;26,30;0,00;
1022;010253;BAW75T24;BAW75T24 POWER SUPPLY 24V 2.7A EXTENDED RANGE;IT;POWER SUPPLIES;2,00;106,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;106,65;0,00;0,00;2,00;106,65;106,65;0,00;0,00;106,65;0,00;
1023;010256;MULTI TRANSMITTER;AJAX MULTI TRANSMITTER BLACK;INTRUSION/BA;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ BA;1,00;72,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;72,28;0,00;0,00;1,00;72,28;72,28;0,00;0,00;72,28;0,00;
1024;010261;DS-3E0105P-E/M(B);4 Port Fast Ethernet Unmanaged POE Switch;IT;SWITCHES;2,00;38,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;38,60;0,00;0,00;2,00;38,60;38,60;0,00;0,00;38,60;0,00;
1025;010266;BS3 BLUE;ΕΞΩΤΕΡΙΚΗ ΣΕΙΡΗΝΑ ΣΥΝΑΓΕΡΜΟΥ;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;1,00;16,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;16,25;0,00;0,00;1,00;16,25;16,25;0,00;0,00;16,25;0,00;
1026;010279;730AG62202;CLAMP-T GROOVED FIG730 GALV GASKET DIA 6x2'';FIRE EXTINGUISHING;SPRINKLER;2,00;60,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;60,70;0,00;0,00;2,00;60,70;60,70;0,00;0,00;60,70;0,00;
1027;010280;516.900.002;701PH Conventional Optical Heat Enhanced Detector (EN);FIRE DETECTION;DETECTOR BASE FIRE DETECTION;66,00;460,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66,00;460,88;0,00;0,00;66,00;460,88;460,88;0,00;0,00;460,88;0,00;
1028;010282;ZPMETAL-DET3;METAL DETECTOR CONTROLLER;EAS;METAL DETECTOR CONTROLLER FOR UE;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
1029;010283;HPSB-12V5A-C;ΠΑΛΜΟΤΡΟΦΟΔΟΤΙΚΟ 13,8VDC 5A;IT;POWER SUPPLIES;12,00;388,55;0,00;0,00;0,00;0,00;1,00;31,92;10,00;49,11;13,00;420,47;10,00;49,11;3,00;96,81;388,55;32,27;49,11;96,80;34,30;
1030;010285;SP-MC09B;ΕΝΣΥΡΜΑΤΗ ΧΩΝΕΥΤΗ ΜΑΓΝΗΤΙΚΗ ΕΠΑΦΗ;INTRUSION/BA;ΕΠΑΦΕΣ BA;7,00;25,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;25,41;0,00;0,00;7,00;25,41;25,41;0,00;0,00;25,41;0,00;
1031;010287;ISC-BDL2-W12GΕ;ΕΝΣΥΡΜΑΤΟΣ ΑΝΙΧΝΕΥΤΗΣ ΚΙΝΗΣΗΣ;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;149,00;3.244,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;149,00;3.244,92;0,00;0,00;149,00;3.244,92;3.244,92;0,00;0,00;3.244,90;0,00;
1032;010293;RS002/ALI;ΜΑΓΝΗΤΙΚΗ ΕΠΑΦΗ GARAGE;INTRUSION/BA;ΕΠΑΦΕΣ BA;2,00;32,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;32,42;0,00;0,00;2,00;32,42;32,42;0,00;0,00;32,43;0,00;
1033;010298;ZRP/R;CONVENTIONAL RAPTOR SOUNDER, RED;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE CONVENTIONAL;2,00;70,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;70,22;0,00;0,00;2,00;70,22;70,22;0,00;0,00;70,22;0,00;
1034;010299;ZIOU/230;ADD INPUT OUTPUT UNIT;FIRE DETECTION;MODULE FIRE ADDRESSABLE;3,00;146,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;146,31;0,00;0,00;3,00;146,31;146,31;0,00;0,00;146,31;0,00;
1035;010302;12V/4.5A;ΜΠΑΤΑΡΙΑ 12V 4.5A;ΛΟΙΠΑ;ΜΠΑΤΑΡΙΕΣ;10,00;94,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;94,01;0,00;0,00;10,00;94,01;94,01;0,00;0,00;94,01;0,00;
1036;010303;GSTAR004;iSTAR Edge G2, 4 reader controller in Metal housing  ;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;3,00;396,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;396,96;0,00;0,00;3,00;396,96;396,96;0,00;0,00;396,96;0,00;
